Africa Temperature Anomalies, April-March
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1911,-0.45
1912,-0.47
1913,-0.30
1914,0.00
1915,-0.08
1916,-0.18
1917,-0.43
1918,-0.72
1919,-0.37
1920,-0.37
1921,-0.46
1922,-0.35
1923,-0.28
1924,-0.25
1925,-0.38
1926,-0.01
1927,-0.12
1928,-0.05
1929,-0.12
1930,-0.38
1931,-0.05
1932,0.06
1933,-0.11
1934,-0.33
1935,0.00
1936,-0.12
1937,-0.21
1938,-0.02
1939,-0.10
1940,-0.05
1941,0.22
1942,0.36
1943,-0.01
1944,-0.22
1945,0.02
1946,-0.01
1947,0.06
1948,-0.02
1949,-0.25
1950,-0.02
1951,-0.22
1952,-0.10
1953,0.03
1954,-0.22
1955,-0.17
1956,-0.21
1957,-0.45
1958,0.10
1959,0.09
1960,0.00
1961,-0.01
1962,-0.10
1963,0.13
1964,0.08
1965,-0.34
1966,-0.16
1967,0.00
1968,-0.30
1969,0.13
1970,0.28
1971,0.02
1972,-0.26
1973,0.20
1974,0.08
1975,-0.27
1976,-0.27
1977,-0.06
1978,0.23
1979,0.17
1980,0.33
1981,0.23
1982,0.13
1983,0.05
1984,0.45
1985,0.32
1986,0.18
1987,0.29
1988,0.77
1989,0.05
1990,0.28
1991,0.65
1992,0.16
1993,0.08
1994,0.53
1995,0.29
1996,0.69
1997,0.33
1998,0.66
1999,0.92
2000,0.53
2001,0.57
2002,0.72
2003,0.94
2004,0.92
2005,0.92
2006,1.05
2007,0.76
2008,0.72
2009,0.90
2010,1.28
2011,1.23
2012,0.71
2013,1.11
2014,0.87
2015,1.05
2016,1.41
2017,1.36
2018,1.24
2019,1.18
2020,1.38
2021,1.31
