Global Land and Ocean Temperature Anomalies, April-March
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1881,-0.11
1882,-0.08
1883,-0.18
1884,-0.18
1885,-0.30
1886,-0.24
1887,-0.28
1888,-0.27
1889,-0.06
1890,-0.20
1891,-0.37
1892,-0.22
1893,-0.40
1894,-0.28
1895,-0.34
1896,-0.20
1897,-0.09
1898,-0.15
1899,-0.26
1900,-0.13
1901,-0.06
1902,-0.17
1903,-0.27
1904,-0.48
1905,-0.43
1906,-0.22
1907,-0.27
1908,-0.40
1909,-0.46
1910,-0.42
1911,-0.44
1912,-0.36
1913,-0.38
1914,-0.23
1915,-0.15
1916,-0.13
1917,-0.42
1918,-0.34
1919,-0.27
1920,-0.26
1921,-0.22
1922,-0.18
1923,-0.27
1924,-0.21
1925,-0.29
1926,-0.07
1927,-0.15
1928,-0.15
1929,-0.25
1930,-0.27
1931,-0.08
1932,-0.06
1933,-0.19
1934,-0.24
1935,-0.07
1936,-0.20
1937,-0.08
1938,0.02
1939,-0.05
1940,0.06
1941,0.21
1942,0.25
1943,0.07
1944,0.19
1945,0.22
1946,0.19
1947,-0.06
1948,-0.04
1949,-0.04
1950,-0.12
1951,-0.17
1952,0.09
1953,0.07
1954,0.06
1955,-0.09
1956,-0.15
1957,-0.15
1958,0.15
1959,0.11
1960,0.05
1961,0.09
1962,0.09
1963,0.10
1964,0.08
1965,-0.15
1966,-0.04
1967,-0.02
1968,0.01
1969,-0.02
1970,0.15
1971,0.00
1972,-0.07
1973,0.16
1974,0.07
1975,0.00
1976,-0.04
1977,0.02
1978,0.20
1979,0.11
1980,0.28
1981,0.31
1982,0.25
1983,0.28
1984,0.30
1985,0.14
1986,0.19
1987,0.25
1988,0.42
1989,0.33
1990,0.35
1991,0.43
1992,0.40
1993,0.22
1994,0.25
1995,0.43
1996,0.41
1997,0.34
1998,0.59
1999,0.61
2000,0.43
2001,0.43
2002,0.64
2003,0.59
2004,0.65
2005,0.57
2006,0.66
2007,0.67
2008,0.55
2009,0.57
2010,0.70
2011,0.65
2012,0.57
2013,0.68
2014,0.68
2015,0.80
2016,1.02
2017,0.95
2018,0.86
2019,0.87
2020,1.00
2021,0.88
